,days_left,DummyEconomy,price
42,1,1,12150
51,1,1,12990
113,1,1,23206
114,1,1,24540
117,1,1,29580
163,2,1,9840
164,2,1,9840
193,2,1,12675
196,2,1,12990
199,2,1,12990
211,2,1,14250
241,2,1,20445
250,2,1,29580
329,3,1,13086
357,3,1,15405
385,3,1,22755
387,3,1,22965
388,3,1,23070
396,3,1,29580
433,4,1,5955
513,4,1,12150
518,4,1,12150
543,4,1,14775
544,4,1,15143
546,4,1,15720
548,4,1,15825
561,4,1,21390
606,5,1,5955
632,5,1,7468
670,5,1,10680
693,5,1,12150
696,5,1,12150
724,5,1,15405
725,5,1,15615
731,5,1,19500
732,5,1,21180
734,5,1,21443
737,5,1,24908
780,6,1,5955
838,6,1,10680
869,6,1,12150
874,6,1,12150
903,6,1,14775
907,6,1,15405
910,6,1,17925
911,6,1,18765
912,6,1,19500
916,6,1,22755
955,7,1,5955
957,7,1,5955
987,7,1,7468
1025,7,1,10680
1053,7,1,12150
1075,7,1,14176
1087,7,1,14880
1089,7,1,15300
1091,7,1,15405
1095,7,1,16665
1099,7,1,21075
1100,7,1,21180
1102,7,1,21443
1137,8,1,5955
1139,8,1,5955
1167,8,1,7468
1202,8,1,10680
1228,8,1,12150
1233,8,1,12150
1239,8,1,12360
1240,8,1,12360
1244,8,1,12990
1252,8,1,13200
1253,8,1,13441
1269,8,1,15405
1282,8,1,19500
1283,8,1,20760
1319,9,1,5955
1321,9,1,5955
1425,9,1,15615
1434,9,1,16455
1442,9,1,17505
1443,9,1,17505
1446,9,1,18030
1447,9,1,18030
1452,9,1,19290
1456,9,1,20340
1481,10,1,5955
1482,10,1,5955
1601,10,1,14880
1602,10,1,14880
1605,10,1,15195
1606,10,1,15195
1626,10,1,17715
1630,10,1,18481
1637,10,1,21390
1642,10,1,25695
1643,10,1,25695
1689,11,1,5955
1691,11,1,5955
1771,11,1,10680
1787,11,1,11730
1803,11,1,12150
1808,11,1,12150
1816,11,1,12360
1817,11,1,12360
1853,11,1,16508
1854,11,1,19710
1908,12,1,5955
1909,12,1,5955
1962,12,1,7468
1998,12,1,10680
2006,12,1,11341
2009,12,1,11415
2010,12,1,11415
2033,12,1,12150
2036,12,1,12150
2040,12,1,12570
2051,12,1,12990
2067,12,1,13830
2074,12,1,15405
2075,12,1,15615
2125,13,1,5955
2224,13,1,11415
2225,13,1,11520
2243,13,1,11835
2247,13,1,12255
2272,13,1,13410
2279,13,1,13515
2281,13,1,13515
2288,13,1,15405
2289,13,1,15930
2290,13,1,17715
2346,14,1,5955
2348,14,1,5955
2402,14,1,7468
2451,14,1,10544
2455,14,1,10921
2461,14,1,11310
2463,14,1,11520
2486,14,1,13064
2493,14,1,13830
2496,14,1,14040
2499,14,1,14460
2502,14,1,17925
2503,14,1,19185
2543,15,1,2476
2544,15,1,2476
2582,15,1,4161
2611,15,1,5168
2628,15,1,5588
2641,15,1,5931
2642,15,1,5931
2670,15,1,6277
2674,15,1,6601
2677,15,1,6601
2679,15,1,6662
2683,15,1,6890
2685,15,1,7005
2715,15,1,17967
2716,15,1,18240
2755,16,1,2476
2772,16,1,2791
2850,16,1,5616
2851,16,1,5616
2899,16,1,7950
2909,16,1,8692
2924,16,1,19227
2925,16,1,20865
2926,16,1,21432
2958,17,1,2476
2976,17,1,2791
3089,17,1,6456
3090,17,1,6456
3098,17,1,7005
3100,17,1,7021
3103,17,1,7021
3104,17,1,7187
3112,17,1,8062
3129,17,1,11625
3134,17,1,15353
3183,18,1,2476
3184,18,1,2476
3219,18,1,3831
3229,18,1,4170
3234,18,1,4251
3267,18,1,5026
3274,18,1,5168
3286,18,1,5761
3319,18,1,6561
3323,18,1,6690
3326,18,1,6890
3328,18,1,6981
3345,18,1,9998
3354,18,1,12833
3404,19,1,2476
3406,19,1,2476
3442,19,1,3855
3452,19,1,4161
3454,19,1,4161
3473,19,1,4853
3487,19,1,4881
3488,19,1,4881
3490,19,1,4926
3500,19,1,5126
3506,19,1,5301
3517,19,1,5927
3539,19,1,6601
3545,19,1,6933
3565,19,1,8601
3567,19,1,9673
3572,19,1,10628
3574,19,1,13463
3621,20,1,2476
3662,20,1,3831
3664,20,1,3831
3665,20,1,3831
3666,20,1,3831
3679,20,1,4170
3688,20,1,4433
3711,20,1,4926
3712,20,1,5026
3757,20,1,6181
3764,20,1,7206
3783,20,1,9735
3788,20,1,13040
3789,20,1,14555
3839,21,1,2476
3841,21,1,2476
3874,21,1,3554
3878,21,1,3831
3879,21,1,3831
3888,21,1,4161
3890,21,1,4161
3927,21,1,4926
3933,21,1,5115
3941,21,1,5446
3949,21,1,5927
3974,21,1,6181
3983,21,1,6890
3984,21,1,6933
3996,21,1,9410
4002,21,1,11993
4050,22,1,2476
4052,22,1,2476
4095,22,1,3831
4096,22,1,3831
4098,22,1,3855
4113,22,1,4433
4115,22,1,4476
4140,22,1,4881
4141,22,1,4881
4159,22,1,5640
4161,22,1,5721
4167,22,1,5927
4188,22,1,6181
4213,22,1,8024
4216,22,1,9410
4220,22,1,11468
4266,23,1,2476
4268,23,1,2476
4324,23,1,4461
4346,23,1,4881
4360,23,1,5446
4398,23,1,6034
4399,23,1,6071
4415,23,1,6533
4421,23,1,7341
4428,23,1,8592
4431,23,1,9515
4436,23,1,11153
4483,24,1,2476
4485,24,1,2476
4534,24,1,4161
4538,24,1,4461
4557,24,1,4881
4571,24,1,5241
4592,24,1,5927
4610,24,1,6181
4612,24,1,6181
4617,24,1,6277
4635,24,1,6933
4646,24,1,8475
4649,24,1,8885
4653,24,1,9945
4711,25,1,2476
4713,25,1,2476
4752,25,1,3831
4766,25,1,4146
